 663.96   1000.   0.28  0.0 0.100E+06  0.00  Teff, grav(MKS), Y, f_sed, kz_min, [Fe/H]
 50   36.308000000   1315.88 3.6701E+06  0.2795  0.2036 7.8285E-04    8.95605E+04    2.93567E+01
 51   50.119000000   1405.99 3.6701E+06  0.2770  0.2055 1.0112E-03    1.02508E+05    3.33315E+01
 52   69.183000000   1510.08 3.6702E+06  0.2736  0.2216 1.2995E-03    1.15768E+05    3.70626E+01
 53   95.499000000   1638.14 4.2163E+06  0.2696  0.2525 1.6537E-03    1.27218E+05    3.97958E+01
 54  110.000000000   1701.26 4.8033E+06  0.2664  0.2674 1.8342E-03    1.31861E+05    4.10524E+01
 55  120.000000000   1741.00 5.3898E+06  0.2647  0.2654 1.9549E-03    1.34868E+05    4.21231E+01
 56  135.000000000   1796.00 6.2732E+06  0.2632  0.2641 2.1317E-03    1.39152E+05    4.36999E+01
 57  160.000000000   1877.86 7.0106E+06  0.2609  0.2623 2.4160E-03    1.45825E+05    4.58367E+01
 58  190.000000000   1963.54 7.9570E+06  0.2583  0.2596 2.7442E-03    1.53062E+05    4.86583E+01
 59  250.000000000   2107.04 8.7798E+06  0.2546  0.2570 3.3651E-03    1.66243E+05    5.24185E+01
 60  300.000000000   2206.21 9.2197E+06  0.2506  0.2523 3.8583E-03    1.76037E+05    5.53693E+01
 61  350.000000000   2292.60 1.1017E+07  0.2477  0.2492 4.3353E-03    1.85519E+05    1.81850E+09
