   i   micron.    wavenumber idum     idum1    idum2     idum3
 102     1.982   5045.32   5000.00- 5090.65    90.650  5045.325
 103     1.947   5135.98   5090.65- 5181.30    90.650  5135.975
 104     1.916   5218.48   5181.30- 5255.65    74.350  5218.475
 105     1.889   5292.82   5255.65- 5330.00    74.350  5292.825
 106     1.863   5367.50   5330.00- 5405.00    75.000  5367.500
 107     1.837   5442.50   5405.00- 5480.00    75.000  5442.500
 108     1.812   5517.80   5480.00- 5555.60    75.600  5517.800
 109     1.788   5591.70   5555.60- 5627.80    72.200  5591.700
 110     1.766   5663.90   5627.80- 5700.00    72.200  5663.900
 111     1.740   5745.60   5700.00- 5791.20    91.200  5745.600
 112     1.713   5836.80   5791.20- 5882.40    91.200  5836.800
 113     1.692   5911.80   5882.40- 5941.20    58.800  5911.800
 114     1.675   5970.60   5941.20- 6000.00    58.800  5970.600
 115     1.660   6025.00   6000.00- 6050.00    50.000  6025.000
 116     1.646   6075.00   6050.00- 6100.00    50.000  6075.000
 117     1.627   6144.65   6100.00- 6189.30    89.300  6144.650
 118     1.604   6234.30   6189.30- 6279.30    90.000  6234.300
 119     1.584   6314.35   6279.30- 6349.40    70.100  6314.350
 120     1.567   6381.00   6349.40- 6412.60    63.200  6381.000
 121     1.552   6442.10   6412.60- 6471.60    59.000  6442.100
 122     1.538   6503.70   6471.60- 6535.80    64.200  6503.700
 123     1.523   6567.90   6535.80- 6600.00    64.200  6567.900
 124     1.506   6640.00   6600.00- 6680.00    80.000  6640.000
 125     1.488   6720.00   6680.00- 6760.00    80.000  6720.000
 126     1.471   6800.00   6760.00- 6840.00    80.000  6800.000
 127     1.452   6885.00   6840.00- 6930.00    90.000  6885.000
 128     1.434   6975.00   6930.00- 7020.00    90.000  6975.000
 129     1.416   7062.50   7020.00- 7105.00    85.000  7062.500
 130     1.400   7142.50   7105.00- 7180.00    75.000  7142.500
 131     1.386   7212.50   7180.00- 7245.00    65.000  7212.500
 132     1.374   7277.50   7245.00- 7310.00    65.000  7277.500
 133     1.358   7362.20   7310.00- 7414.40   104.400  7362.200
 134     1.339   7466.60   7414.40- 7518.80   104.400  7466.600
 135     1.318   7584.63   7518.80- 7650.45   131.650  7584.625
 136     1.296   7716.27   7650.45- 7782.10   131.650  7716.275
 137     1.276   7836.58   7782.10- 7891.05   108.950  7836.575
 138     1.259   7945.52   7891.05- 8000.00   108.950  7945.525
 139     1.241   8057.63   8000.00- 8115.25   115.250  8057.625
 140     1.224   8172.88   8115.25- 8230.50   115.250  8172.875
 141     1.206   8291.52   8230.50- 8352.55   122.050  8291.525
 142     1.189   8413.58   8352.55- 8474.60   122.050  8413.575
 143     1.169   8552.78   8474.60- 8630.95   156.350  8552.775
 144     1.148   8709.13   8630.95- 8787.30   156.350  8709.125
 145     1.126   8884.05   8787.30- 8980.80   193.500  8884.050
 146     1.102   9077.55   8980.80- 9174.30   193.500  9077.550
 147     1.080   9257.15   9174.30- 9340.00   165.700  9257.150
 148     1.061   9422.85   9340.00- 9505.70   165.700  9422.850
 149     1.040   9619.33   9505.70- 9732.95   227.250  9619.325
 150     1.016   9846.58   9732.95- 9960.20   227.250  9846.575
 151     0.996  10040.05   9960.20-10119.90   159.700 10040.050
 152     0.980  10199.75  10119.90-10279.60   159.700 10199.750
 153     0.963  10386.40  10279.60-10493.20   213.600 10386.400
 154     0.944  10594.20  10493.20-10695.20   202.000 10594.200
 155     0.931  10735.55  10695.20-10775.90    80.700 10735.550
 156     0.919  10882.45  10775.90-10989.00   213.100 10882.450
 157     0.904  11062.45  10989.00-11135.90   146.900 11062.450
 158     0.891  11217.65  11135.90-11299.40   163.500 11217.650
 159     0.877  11396.85  11299.40-11494.30   194.900 11396.850
 160     0.865  11554.35  11494.30-11614.40   120.100 11554.350
 161     0.852  11734.90  11614.40-11855.40   241.000 11734.900
 162     0.834  11988.30  11855.40-12121.20   265.800 11988.300
 163     0.822  12160.40  12121.20-12199.60    78.400 12160.400
 164     0.810  12349.80  12199.60-12500.00   300.400 12349.800
 165     0.792  12619.45  12500.00-12738.90   238.900 12619.450
 166     0.777  12862.95  12738.90-12987.00   248.100 12862.950
 167     0.765  13072.45  12987.00-13157.90   170.900 13072.450
 168     0.752  13290.35  13157.90-13422.80   264.900 13290.350
 169     0.739  13532.70  13422.80-13642.60   219.800 13532.700
 170     0.729  13721.65  13642.60-13800.70   158.100 13721.650
 171     0.714  14000.60  13800.70-14200.50   399.800 14000.600
 172     0.697  14349.80  14200.50-14499.10   298.600 14349.800
 173     0.677  14768.35  14499.10-15037.60   538.500 14768.350
 174     0.657  15211.10  15037.60-15384.60   347.000 15211.100
 175     0.642  15566.30  15384.60-15748.00   363.400 15566.300
 176     0.628  15924.25  15748.00-16100.50   352.500 15924.250
 177     0.617  16220.20  16100.50-16339.90   239.400 16220.200
 178     0.604  16545.15  16339.90-16750.40   410.500 16545.150
 179     0.591  16922.20  16750.40-17094.00   343.600 16922.200
 180     0.578  17288.25  17094.00-17482.50   388.500 17288.250
 181     0.565  17685.80  17482.50-17889.10   406.600 17685.800
 182     0.552  18118.85  17889.10-18348.60   459.500 18118.850
 183     0.537  18624.30  18348.60-18900.00   551.400 18624.300
 184     0.523  19102.50  18900.00-19305.00   405.000 19102.500
 185     0.506  19747.40  19305.00-20189.80   884.800 19747.400
 186     0.485  20621.20  20189.80-21052.60   862.800 20621.200
 187     0.465  21515.30  21052.60-21978.00   925.400 21515.300
 188     0.445  22483.25  21978.00-22988.50  1010.500 22483.250
 189     0.426  23484.65  22988.50-23980.80   992.300 23484.650
 190     0.408  24490.40  23980.80-25000.00  1019.200 24490.400
 191     0.387  25833.33  25000.00-26666.65  1666.650 25833.325
 192     0.362  27619.03  26666.65-28571.40  1904.750 27619.025
 193     0.337  29670.30  28571.40-30769.20  2197.800 29670.300
 194     0.312  32051.25  30769.20-33333.30  2564.100 32051.250
 195     0.287  34848.48  33333.30-36363.65  3030.350 34848.475
 196     0.268  37331.82  36363.65-38300.00  1936.350 37331.825
