   Wavenu Wavelen  kap100   kap198   kap296 del/al
    1/cm    nm     1/km-am  1/km-am  1/km-am K^1/2

    6455  1548.76  1.46E-1  1.68E-1  2.62E-1   744
    6460  1547.56  2.22E-1  2.46E-1  3.44E-1   335
    6465  1546.37  2.27E-1  2.75E-1  4.02E-1   256
    6470  1545.17  2.45E-1  2.84E-1  3.84E-1   253
    6475  1543.98  2.94E-1  3.37E-1  4.34E-1   178
    6480  1542.79  2.60E-1  3.25E-1  4.66E-1   180
    6485  1541.60  2.01E-1  2.61E-1  4.21E-1   268
    6490  1540.41  2.50E-1  3.19E-1  4.74E-1   181
    6495  1539.23  2.80E-1  3.76E-1  5.45E-1   131
    6500  1538.04  2.30E-1  3.10E-1  4.79E-1   190
    6505  1536.86  2.52E-1  3.46E-1  5.34E-1   150
    6510  1535.68  2.76E-1  3.80E-1  5.78E-1   125
    6515  1534.50  2.47E-1  3.44E-1  5.53E-1   148
    6520  1533.32  2.11E-1  3.12E-1  5.42E-1   175
    6525  1532.15  1.90E-1  2.81E-1  5.00E-1   217
    6530  1530.98  2.49E-1  3.74E-1  6.19E-1   123
    6535  1529.80  4.27E-1  5.76E-1  8.14E-1    95
    6540  1528.63  4.62E-1  5.53E-1  7.32E-1   136
    6545  1527.47  3.30E-1  4.28E-1  6.45E-1    99
    6550  1526.30  3.24E-1  4.62E-1  7.30E-1    81
    6555  1525.14  3.83E-1  5.42E-1  8.04E-1    61
    6560  1523.97  4.30E-1  6.11E-1  9.19E-1    47
    6565  1522.81  4.47E-1  6.18E-1  9.09E-1    47
    6570  1521.65  4.16E-1  6.26E-1  9.82E-1    43
    6575  1520.50  4.29E-1  6.79E-1  1.10E+0    39
    6580  1519.34  5.34E-1  7.60E-1  1.12E+0    50
    6585  1518.19  5.91E-1  8.85E-1  1.31E+0    39
    6590  1517.04  6.06E-1  9.19E-1  1.34E+0    75
    6595  1515.89  5.23E-1  8.62E-1  1.34E+0    77
    6600  1514.74  5.86E-1  9.77E-1  1.53E+0    86
    6605  1513.59  9.14E-1  1.22E+0  1.64E+0   169
    6610  1512.45  1.16E+0  1.52E+0  1.94E+0   154
    6615  1511.30  9.26E-1  1.33E+0  1.82E+0   114
    6620  1510.16  7.55E-1  1.10E+0  1.53E+0    91
    6625  1509.02  9.67E-1  1.34E+0  1.80E+0   137
    6630  1507.88  9.40E-1  1.52E+0  2.22E+0   119
    6635  1506.75  1.09E+0  1.70E+0  2.36E+0    97
    6640  1505.61  1.48E+0  2.01E+0  2.55E+0   106
    6645  1504.48  1.33E+0  1.80E+0  2.36E+0   114
    6650  1503.35  1.21E+0  1.63E+0  2.14E+0   130
    6655  1502.22  1.07E+0  1.63E+0  2.28E+0   114
    6660  1501.09  8.41E-1  1.41E+0  2.14E+0    89
    6665  1499.97  6.56E-1  1.31E+0  2.22E+0    76
    6670  1498.84  7.21E-1  1.44E+0  2.39E+0    70
    6675  1497.72  1.23E+0  1.83E+0  2.50E+0    89
    6680  1496.60  1.44E+0  2.44E+0  3.34E+0   113
    6685  1495.48  1.31E+0  2.70E+0  4.19E+0   127
    6690  1494.36  1.10E+0  2.59E+0  4.33E+0   186
    6695  1493.24  7.73E-1  1.87E+0  3.42E+0   297
    6700  1492.13  8.25E-1  1.75E+0  3.01E+0   195
    6705  1491.02  1.31E+0  2.79E+0  4.32E+0   139
    6710  1489.91  1.86E+0  4.03E+0  5.94E+0   149
    6715  1488.80  1.64E+0  3.78E+0  5.97E+0   126
    6720  1487.69  1.69E+0  3.59E+0  5.61E+0   151
    6725  1486.58  3.45E+0  5.82E+0  7.61E+0   217
    6730  1485.48  3.79E+0  5.97E+0  7.61E+0   206
    6735  1484.38  3.99E+0  6.09E+0  7.84E+0   186
    6740  1483.27  8.00E+0  8.80E+0  1.00E+1   174
    6745  1482.17  7.19E+0  7.95E+0  9.48E+0   205
    6750  1481.08  6.18E+0  8.06E+0  9.86E+0   190
    6755  1479.98  9.37E+0  1.25E+1  1.44E+1   141
    6760  1478.89  2.67E+1  2.43E+1  2.35E+1   147
    6765  1477.79  2.99E+1  2.35E+1  2.08E+1   187
    6770  1476.70  1.14E+1  1.01E+1  1.04E+1   160
    6775  1475.61  1.26E+1  9.67E+0  9.64E+0   169
    6780  1474.52  2.15E+1  1.38E+1  1.27E+1   199
    6785  1473.44  2.82E+1  1.94E+1  1.73E+1   189
    6790  1472.35  2.32E+1  2.06E+1  1.93E+1   157
    6795  1471.27  2.11E+1  2.23E+1  2.18E+1   139
    6800  1470.19  1.38E+1  1.92E+1  2.28E+1   111
    6805  1469.11  5.25E+0  1.14E+1  1.78E+1    98
    6810  1468.03  6.25E+0  9.68E+0  1.34E+1    82
    6815  1466.95  8.52E+0  9.11E+0  1.06E+1    82
    6820  1465.88  8.94E+0  9.95E+0  1.14E+1    83
    6825  1464.80  7.49E+0  9.41E+0  1.14E+1    77
    6830  1463.73  7.41E+0  8.70E+0  1.04E+1    83
    6835  1462.66  9.12E+0  9.75E+0  1.09E+1    77
    6840  1461.59  8.18E+0  9.48E+0  1.14E+1    73
    6845  1460.52  1.45E+1  1.27E+1  1.43E+1   104
    6850  1459.46  1.55E+1  1.36E+1  1.49E+1    91
    6855  1458.39  1.32E+1  1.24E+1  1.38E+1    77
    6860  1457.33  1.74E+1  1.43E+1  1.50E+1    91
    6865  1456.27  1.54E+1  1.40E+1  1.59E+1    82
    6870  1455.21  1.47E+1  1.47E+1  1.83E+1    69
    6875  1454.15  1.75E+1  1.63E+1  1.90E+1    65
    6880  1453.09  2.09E+1  1.69E+1  1.79E+1    75
    6885  1452.04  2.55E+1  1.96E+1  1.97E+1    71
    6890  1450.98  2.08E+1  1.83E+1  2.13E+1    63
    6895  1449.93  1.60E+1  1.58E+1  2.02E+1    74
    6900  1448.88  2.30E+1  1.83E+1  2.03E+1    89
    6905  1447.83  2.36E+1  2.06E+1  2.34E+1    84
    6910  1446.78  2.02E+1  2.34E+1  3.00E+1    60
    6915  1445.74  1.81E+1  2.30E+1  3.21E+1    57
    6920  1444.69  1.95E+1  2.06E+1  2.81E+1    66
    6925  1443.65  2.04E+1  1.93E+1  2.62E+1    71
    6930  1442.61  1.78E+1  2.09E+1  2.97E+1    84
    6935  1441.57  2.52E+1  2.80E+1  3.71E+1    76
    6940  1440.53  2.09E+1  2.32E+1  3.24E+1    65
    6945  1439.49  1.60E+1  2.14E+1  3.17E+1    64
    6950  1438.46  2.43E+1  3.07E+1  4.10E+1    62
    6955  1437.42  2.76E+1  3.36E+1  4.55E+1    71
    6960  1436.39  2.39E+1  3.13E+1  4.70E+1    70
    6965  1435.36  1.67E+1  2.80E+1  4.38E+1    65
    6970  1434.33  1.98E+1  3.22E+1  4.74E+1    64
    6975  1433.30  2.86E+1  4.25E+1  5.96E+1    66
    6980  1432.27  3.09E+1  4.77E+1  6.47E+1    71
    6985  1431.25  3.26E+1  4.97E+1  6.45E+1    63
    6990  1430.22  2.93E+1  4.76E+1  6.34E+1    72
    6995  1429.20  4.29E+1  6.23E+1  7.92E+1    87
    7000  1428.18  5.18E+1  7.22E+1  8.54E+1    73
    7005  1427.16  3.50E+1  6.34E+1  8.32E+1    62
    7010  1426.14  3.75E+1  6.79E+1  8.92E+1    75
    7015  1425.13  6.03E+1  8.38E+1  9.47E+1    79
    7020  1424.11  6.84E+1  8.73E+1  9.58E+1    81
    7025  1423.10  5.07E+1  7.38E+1  8.61E+1    77
    7030  1422.09  5.56E+1  8.11E+1  9.43E+1    70
    7035  1421.08  6.05E+1  7.76E+1  8.83E+1    84
    7040  1420.07  6.25E+1  8.61E+1  9.80E+1    97
    7045  1419.06  7.88E+1  1.10E+2  1.21E+2    97
    7050  1418.05  9.15E+1  1.13E+2  1.20E+2    89
    7055  1417.05  9.61E+1  1.17E+2  1.25E+2    91
    7060  1416.04  1.16E+2  1.31E+2  1.33E+2    98
    7065  1415.04  1.26E+2  1.42E+2  1.44E+2    79
    7070  1414.04  1.00E+2  1.12E+2  1.19E+2    72
    7075  1413.04  1.34E+2  1.29E+2  1.26E+2    77
    7080  1412.04  1.93E+2  1.75E+2  1.61E+2    61
    7085  1411.05  1.80E+2  1.66E+2  1.66E+2    53
    7090  1410.05  1.80E+2  1.82E+2  1.95E+2    49
    7095  1409.06  2.68E+2  2.80E+2  2.78E+2    50
    7100  1408.07  2.89E+2  2.95E+2  2.79E+2    59
    7105  1407.07  2.25E+2  2.15E+2  2.03E+2    64
    7110  1406.09  2.54E+2  2.26E+2  2.04E+2    62
    7115  1405.10  2.33E+2  2.05E+2  1.85E+2    62
    7120  1404.11  2.18E+2  1.82E+2  1.63E+2    77
    7125  1403.13  2.82E+2  2.38E+2  2.00E+2    87
    7130  1402.14  3.17E+2  2.85E+2  2.45E+2    62
    7135  1401.16  2.53E+2  2.39E+2  2.31E+2    55
    7140  1400.18  2.02E+2  2.15E+2  2.37E+2    54
    7145  1399.20  2.05E+2  2.32E+2  2.66E+2    50
    7150  1398.22  2.54E+2  2.56E+2  2.66E+2    56
    7155  1397.24  2.95E+2  2.62E+2  2.46E+2    64
    7160  1396.27  2.10E+2  1.85E+2  1.80E+2    67
    7165  1395.29  1.41E+2  1.28E+2  1.34E+2    63
    7170  1394.32  1.65E+2  1.47E+2  1.50E+2    72
    7175  1393.35  2.50E+2  2.19E+2  2.02E+2    74
    7180  1392.38  2.51E+2  2.24E+2  2.04E+2    68
    7185  1391.41  2.46E+2  2.38E+2  2.20E+2    59
    7190  1390.44  2.51E+2  2.68E+2  2.59E+2    53
    7195  1389.47  2.10E+2  2.50E+2  2.58E+2    57
    7200  1388.51  1.68E+2  2.14E+2  2.35E+2    51
    7205  1387.55  2.09E+2  2.44E+2  2.57E+2    49
    7210  1386.58  2.23E+2  2.56E+2  2.72E+2    51
    7215  1385.62  1.69E+2  2.10E+2  2.37E+2    56
    7220  1384.66  1.94E+2  2.33E+2  2.52E+2    60
    7225  1383.70  1.90E+2  2.33E+2  2.56E+2    55
    7230  1382.75  1.61E+2  2.37E+2  2.78E+2    52
    7235  1381.79  1.77E+2  2.46E+2  2.82E+2    54
    7240  1380.84  2.15E+2  2.50E+2  2.67E+2    58
    7245  1379.88  1.91E+2  2.33E+2  2.50E+2    55
    7250  1378.93  1.76E+2  2.12E+2  2.35E+2    58
    7255  1377.98  1.95E+2  2.27E+2  2.44E+2    65
    7260  1377.03  1.74E+2  2.18E+2  2.33E+2    56
    7265  1376.09  1.48E+2  1.87E+2  2.15E+2    61
    7270  1375.14  1.46E+2  1.77E+2  2.07E+2    66
    7275  1374.19  1.42E+2  1.72E+2  1.99E+2    58
    7280  1373.25  1.16E+2  1.67E+2  2.07E+2    55
    7285  1372.31  1.23E+2  1.81E+2  2.26E+2    44
    7290  1371.37  1.69E+2  2.16E+2  2.49E+2    43
    7295  1370.43  1.25E+2  1.87E+2  2.25E+2    57
    7300  1369.49  8.39E+1  1.30E+2  1.59E+2    64
    7305  1368.55  1.32E+2  1.47E+2  1.60E+2    69
    7310  1367.61  1.83E+2  1.78E+2  1.68E+2    72
    7315  1366.68  1.76E+2  1.66E+2  1.51E+2    72
    7320  1365.75  1.98E+2  1.97E+2  1.79E+2    68
    7325  1364.81  2.43E+2  2.33E+2  2.10E+2    57
    7330  1363.88  2.30E+2  2.08E+2  1.92E+2    59
    7335  1362.95  2.21E+2  1.97E+2  1.88E+2    72
    7340  1362.03  2.51E+2  2.02E+2  1.91E+2    82
    7345  1361.10  1.80E+2  1.44E+2  1.43E+2    79
    7350  1360.17  1.89E+2  1.53E+2  1.46E+2    70
    7355  1359.25  2.57E+2  2.03E+2  1.81E+2    62
    7360  1358.32  2.12E+2  1.82E+2  1.78E+2    57
    7365  1357.40  2.87E+2  2.87E+2  2.89E+2    51
    7370  1356.48  3.03E+2  3.09E+2  3.10E+2    47
    7375  1355.56  1.79E+2  1.77E+2  1.87E+2    52
    7380  1354.64  1.47E+2  1.45E+2  1.56E+2    65
    7385  1353.73  1.92E+2  1.64E+2  1.63E+2    78
    7390  1352.81  1.99E+2  1.89E+2  1.90E+2    76
    7395  1351.90  1.16E+2  1.38E+2  1.64E+2    71
    7400  1350.98  1.02E+2  1.21E+2  1.49E+2    65
    7405  1350.07  1.06E+2  1.31E+2  1.66E+2    65
    7410  1349.16  8.42E+1  1.12E+2  1.42E+2    87
    7415  1348.25  9.73E+1  1.35E+2  1.67E+2    93
    7420  1347.34  1.08E+2  1.60E+2  1.96E+2    80
    7425  1346.43  1.09E+2  1.56E+2  1.78E+2    87
    7430  1345.53  1.01E+2  1.51E+2  1.70E+2    83
    7435  1344.62  8.55E+1  1.51E+2  1.75E+2   106
    7440  1343.72  9.65E+1  1.61E+2  1.78E+2   119
    7445  1342.82  1.16E+2  1.76E+2  1.84E+2   133
    7450  1341.91  1.26E+2  1.90E+2  1.93E+2   161
    7455  1341.01  1.28E+2  1.81E+2  1.79E+2   141
    7460  1340.12  1.07E+2  1.35E+2  1.37E+2   167
    7465  1339.22  9.60E+1  1.18E+2  1.24E+2   231
    7470  1338.32  1.06E+2  1.20E+2  1.23E+2   246
    7475  1337.43  1.15E+2  1.13E+2  1.12E+2   232
    7480  1336.53  8.27E+1  8.45E+1  9.16E+1   210
    7485  1335.64  5.08E+1  6.34E+1  7.99E+1   166
    7490  1334.75  4.13E+1  5.53E+1  7.50E+1   117
    7495  1333.86  3.01E+1  4.80E+1  7.53E+1    81
    7500  1332.97  2.18E+1  4.44E+1  8.55E+1    76
    7505  1332.08  5.16E+1  7.74E+1  1.32E+2   116
    7510  1331.19  2.15E+2  2.85E+2  3.46E+2   115
    7515  1330.31  1.64E+2  2.24E+2  2.63E+2   101
    7520  1329.42  6.35E+1  8.87E+1  1.18E+2   156
    7525  1328.54  2.73E+1  3.35E+1  5.58E+1   175
    7530  1327.66  3.01E+1  2.68E+1  3.69E+1   255
    7535  1326.78  3.43E+1  2.25E+1  2.68E+1   298
    7540  1325.90  5.05E+1  3.25E+1  3.29E+1   374
    7545  1325.02  6.38E+1  4.88E+1  5.16E+1   327
    7550  1324.14  7.38E+1  6.02E+1  6.78E+1   281
    7555  1323.26  9.73E+1  6.08E+1  4.89E+1   610
    7560  1322.39  1.06E+2  6.24E+1  4.70E+1   835
    7565  1321.52  9.27E+1  6.20E+1  5.06E+1   747
    7570  1320.64  5.55E+1  4.30E+1  3.95E+1   674
    7575  1319.77  5.70E+1  4.68E+1  4.04E+1   583
    7580  1318.90  4.04E+1  4.04E+1  3.61E+1   350
    7585  1318.03  5.14E+1  5.58E+1  5.13E+1   301
    7590  1317.16  3.55E+1  4.33E+1  4.57E+1   314
    7595  1316.30  2.99E+1  4.76E+1  5.45E+1   359
    7600  1315.43  2.44E+1  3.78E+1  4.68E+1   586
    7605  1314.56  1.60E+1  3.51E+1  4.80E+1   516
    7610  1313.70  1.37E+1  3.01E+1  4.22E+1   607
    7615  1312.84  6.73E+0  2.16E+1  3.52E+1   466
    7620  1311.98  9.30E+0  2.55E+1  4.11E+1   257
    7625  1311.12  5.58E+0  1.75E+1  3.17E+1   271
    7630  1310.26  5.15E+0  1.73E+1  3.30E+1   223
    7635  1309.40  3.62E+0  1.20E+1  2.47E+1   218
    7640  1308.54  1.75E+0  7.90E+0  1.93E+1   197
    7645  1307.69  2.25E+0  7.55E+0  1.67E+1   155
    7650  1306.83  1.71E+0  5.50E+0  1.24E+1   222
    7655  1305.98  9.44E-1  4.04E+0  1.07E+1   162
    7660  1305.13  1.37E+0  4.38E+0  9.82E+0   112
    7665  1304.27  9.96E-1  3.31E+0  7.82E+0   148
    7670  1303.42  5.05E-1  2.17E+0  6.32E+0   181
    7675  1302.58  7.26E-1  2.12E+0  5.13E+0   115
    7680  1301.73  5.47E-1  1.73E+0  4.55E+0   129
    7685  1300.88  3.71E-1  1.12E+0  3.09E+0   188
    7690  1300.03  4.36E-1  1.24E+0  3.06E+0   214
    7695  1299.19  3.54E-1  1.07E+0  2.79E+0   199
    7700  1298.35  2.28E-1  6.72E-1  1.95E+0   232
    7705  1297.50  2.15E-1  6.26E-1  1.80E+0   267
    7710  1296.66  2.22E-1  6.46E-1  1.73E+0   292
    7715  1295.82  1.60E-1  4.52E-1  1.36E+0   431
    7720  1294.98  1.31E-1  3.79E-1  1.23E+0   479
    7725  1294.14  1.28E-1  3.97E-1  1.25E+0   442
    7730  1293.31  9.94E-2  2.85E-1  1.00E+0   631
    7735  1292.47  9.10E-2  2.39E-1  8.65E-1   787
    7740  1291.64  8.79E-2  2.33E-1  8.50E-1   801
    7745  1290.80  7.88E-2  1.86E-1  7.05E-1  1043
    7750  1289.97  7.65E-2  1.82E-1  6.91E-1  1053
    7755  1289.14  7.45E-2  1.70E-1  6.48E-1  1089
    7760  1288.31  6.78E-2  1.38E-1  5.31E-1  1242
    7765  1287.48  6.79E-2  1.35E-1  5.12E-1  1244
    7770  1286.65  7.12E-2  1.33E-1  4.84E-1  1258
    7775  1285.82  6.93E-2  1.31E-1  4.78E-1  1202
    7780  1285.00  6.74E-2  1.23E-1  4.39E-1  1215
    7785  1284.17  7.12E-2  1.22E-1  4.09E-1  1205
    7790  1283.35  6.96E-2  1.18E-1  3.95E-1  1203
    7795  1282.52  7.11E-2  1.15E-1  3.68E-1  1230
    7800  1281.70  8.18E-2  1.23E-1  3.52E-1  1172
    7805  1280.88  8.52E-2  1.24E-1  3.39E-1  1183
    7810  1280.06  8.61E-2  1.24E-1  3.25E-1  1233
    7815  1279.24  1.02E-1  1.43E-1  3.48E-1  1142
    7820  1278.42  1.14E-1  1.53E-1  3.44E-1  1149
    7825  1277.61  1.23E-1  1.59E-1  3.36E-1  1159
    7830  1276.79  1.29E-1  1.66E-1  3.40E-1  1106
    7835  1275.98  1.26E-1  1.65E-1  3.42E-1  1088
    7840  1275.16  1.30E-1  1.67E-1  3.39E-1  1012
    7845  1274.35  1.78E-1  2.20E-1  3.81E-1   531
    7850  1273.54  1.75E-1  2.16E-1  3.69E-1   428
    7855  1272.73  1.61E-1  1.96E-1  3.33E-1   458
    7860  1271.92  1.84E-1  2.17E-1  3.40E-1   383
    7865  1271.11  1.98E-1  2.25E-1  3.41E-1   355
    7870  1270.30  2.19E-1  2.45E-1  3.60E-1   298
    7875  1269.49  1.89E-1  2.15E-1  3.31E-1   382
    7880  1268.69  1.60E-1  1.84E-1  2.97E-1   507
    7885  1267.88  2.38E-1  2.50E-1  3.29E-1   314
    7890  1267.08  2.82E-1  3.00E-1  3.85E-1   219
    7895  1266.28  2.18E-1  2.57E-1  3.78E-1   276
    7900  1265.48  1.90E-1  2.24E-1  3.39E-1   360
    7905  1264.68  1.96E-1  2.16E-1  3.06E-1   400
    7910  1263.88  2.85E-1  2.89E-1  3.48E-1   243
    7915  1263.08  4.07E-1  4.03E-1  4.47E-1   128
    7920  1262.28  3.91E-1  3.84E-1  4.34E-1   141
    7925  1261.48  3.01E-1  3.13E-1  3.81E-1   208
    7930  1260.69  2.90E-1  3.24E-1  4.18E-1   186
    7935  1259.89  2.72E-1  3.13E-1  4.26E-1   192
    7940  1259.10  2.30E-1  2.78E-1  4.10E-1   237
    7945  1258.31  2.58E-1  3.13E-1  4.57E-1   187
    7950  1257.52  2.43E-1  2.97E-1  4.46E-1   190
    7955  1256.73  1.98E-1  2.50E-1  4.05E-1   263
    7960  1255.94  1.88E-1  2.38E-1  3.96E-1   308
    7965  1255.15  2.48E-1  2.95E-1  4.45E-1   200
    7970  1254.36  2.64E-1  3.13E-1  4.69E-1   174
    7975  1253.58  3.14E-1  3.69E-1  5.33E-1   127
    7980  1252.79  4.15E-1  4.70E-1  6.31E-1    85
    7985  1252.01  4.19E-1  4.97E-1  6.84E-1    74
    7990  1251.22  4.38E-1  5.14E-1  7.03E-1    71
    7995  1250.44  4.11E-1  4.93E-1  7.03E-1    73
    8000  1249.66  4.43E-1  5.29E-1  7.57E-1    64
    8005  1248.88  5.69E-1  6.00E-1  7.73E-1    55
    8010  1248.10  5.85E-1  6.34E-1  8.24E-1    49
    8015  1247.32  5.42E-1  6.85E-1  9.57E-1    40
    8020  1246.54  7.35E-1  8.82E-1  1.13E+0    26
    8025  1245.77  9.57E-1  1.05E+0  1.23E+0    22
    8030  1244.99  9.40E-1  1.07E+0  1.29E+0    22
    8035  1244.21  9.86E-1  1.09E+0  1.32E+0    21
    8040  1243.44  7.73E-1  8.67E-1  1.13E+0    26
    8045  1242.67  7.71E-1  8.87E-1  1.15E+0    25
    8050  1241.90  8.50E-1  1.05E+0  1.38E+0    21
    8055  1241.13  8.39E-1  1.03E+0  1.37E+0    22
    8060  1240.36  1.13E+0  1.24E+0  1.49E+0    40
    8065  1239.59  1.21E+0  1.35E+0  1.63E+0    26
    8070  1238.82  1.11E+0  1.30E+0  1.63E+0    19
    8075  1238.05  1.13E+0  1.32E+0  1.72E+0    60
    8080  1237.29  1.73E+0  1.78E+0  2.08E+0   104
    8085  1236.52  2.10E+0  2.04E+0  2.24E+0    66
    8090  1235.76  2.00E+0  2.16E+0  2.47E+0    80
    8095  1234.99  2.75E+0  3.10E+0  3.36E+0    85
    8100  1234.23  2.42E+0  3.01E+0  3.49E+0    92
    8105  1233.47  1.44E+0  2.11E+0  2.81E+0    79
    8110  1232.71  1.66E+0  2.20E+0  2.73E+0    52
    8115  1231.95  2.25E+0  2.65E+0  2.97E+0    54
    8120  1231.19  3.20E+0  3.35E+0  3.45E+0    67
    8125  1230.43  4.25E+0  4.01E+0  3.91E+0    63
    8130  1229.68  3.63E+0  3.59E+0  3.69E+0    59
    8135  1228.92  2.99E+0  3.14E+0  3.34E+0    59
    8140  1228.17  2.31E+0  2.77E+0  3.12E+0    48
    8145  1227.41  1.86E+0  2.41E+0  2.85E+0    17
    8150  1226.66  1.84E+0  2.26E+0  2.68E+0    20
    8155  1225.91  1.52E+0  2.03E+0  2.58E+0    20
    8160  1225.16  1.50E+0  2.15E+0  2.83E+0    20
    8165  1224.40  1.53E+0  2.12E+0  2.76E+0    23
    8170  1223.66  1.31E+0  1.97E+0  2.73E+0    19
    8175  1222.91  1.24E+0  1.94E+0  2.85E+0    43
    8180  1222.16  1.22E+0  1.78E+0  2.56E+0    40
    8185  1221.41  1.17E+0  1.83E+0  2.67E+0    18
    8190  1220.67  1.43E+0  2.27E+0  3.31E+0    63
    8195  1219.92  1.30E+0  2.03E+0  3.09E+0    80
    8200  1219.18  8.90E-1  1.61E+0  2.74E+0    27
    8205  1218.44  1.16E+0  1.99E+0  3.17E+0    36
    8210  1217.69  1.58E+0  2.60E+0  3.89E+0    65
    8215  1216.95  1.54E+0  2.85E+0  4.31E+0    47
    8220  1216.21  1.55E+0  2.86E+0  4.34E+0    23
    8225  1215.47  1.49E+0  2.93E+0  4.62E+0    25
    8230  1214.73  1.27E+0  2.61E+0  4.33E+0    38
    8235  1214.00  1.79E+0  3.33E+0  5.09E+0    63
    8240  1213.26  2.81E+0  5.01E+0  7.08E+0    59
    8245  1212.52  3.21E+0  5.33E+0  7.39E+0    71
    8250  1211.79  3.10E+0  4.87E+0  6.74E+0    67
    8255  1211.06  3.25E+0  5.37E+0  7.46E+0    65
    8260  1210.32  4.16E+0  6.25E+0  8.36E+0    76
    8265  1209.59  4.40E+0  6.23E+0  8.44E+0    77
    8270  1208.86  3.13E+0  5.49E+0  8.32E+0    60
    8275  1208.13  3.58E+0  6.51E+0  9.78E+0    62
    8280  1207.40  6.09E+0  8.95E+0  1.21E+1    51
    8285  1206.67  6.91E+0  9.66E+0  1.28E+1    52
    8290  1205.94  6.92E+0  9.97E+0  1.37E+1    55
    8295  1205.22  8.19E+0  1.15E+1  1.54E+1    49
    8300  1204.49  9.09E+0  1.26E+1  1.61E+1    40
    8305  1203.76  1.16E+1  1.44E+1  1.80E+1    52
    8310  1203.04  1.53E+1  1.76E+1  2.08E+1    60
    8315  1202.32  1.61E+1  1.82E+1  2.06E+1    52
    8320  1201.59  1.82E+1  1.96E+1  2.16E+1    52
    8325  1200.87  2.22E+1  2.16E+1  2.29E+1    64
    8330  1200.15  2.44E+1  2.37E+1  2.50E+1    61
    8335  1199.43  2.12E+1  2.07E+1  2.23E+1    62
    8340  1198.71  1.81E+1  2.05E+1  2.31E+1    67
    8345  1197.99  1.55E+1  2.07E+1  2.46E+1    61
    8350  1197.28  2.23E+1  2.27E+1  2.47E+1    63
    8355  1196.56  3.17E+1  2.95E+1  3.00E+1    65
    8360  1195.84  3.08E+1  2.98E+1  3.03E+1    55
    8365  1195.13  3.30E+1  3.07E+1  3.05E+1    49
    8370  1194.42  3.44E+1  3.13E+1  3.08E+1    49
    8375  1193.70  3.91E+1  3.50E+1  3.38E+1    51
    8380  1192.99  4.23E+1  3.82E+1  3.70E+1    47
    8385  1192.28  5.27E+1  4.52E+1  4.29E+1    41
    8390  1191.57  5.15E+1  4.62E+1  4.59E+1    38
    8395  1190.86  3.96E+1  3.97E+1  4.45E+1    34
    8400  1190.15  3.72E+1  3.76E+1  4.45E+1    37
    8405  1189.44  3.63E+1  4.04E+1  4.80E+1    38
    8410  1188.74  4.99E+1  5.59E+1  6.11E+1    38
    8415  1188.03  7.89E+1  7.60E+1  7.53E+1    45
    8420  1187.32  9.32E+1  8.55E+1  8.39E+1    49
    8425  1186.62  6.38E+1  5.66E+1  5.91E+1    50
    8430  1185.92  5.69E+1  4.78E+1  4.94E+1    46
    8435  1185.21  6.62E+1  5.44E+1  5.40E+1    44
    8440  1184.51  5.67E+1  4.93E+1  5.23E+1    39
    8445  1183.81  6.15E+1  5.19E+1  5.51E+1    34
    8450  1183.11  5.54E+1  4.83E+1  5.45E+1    34
    8455  1182.41  5.49E+1  5.27E+1  6.21E+1    42
    8460  1181.71  5.68E+1  5.59E+1  6.51E+1    41
    8465  1181.01  5.03E+1  5.22E+1  6.34E+1    35
    8470  1180.31  6.09E+1  6.27E+1  7.39E+1    38
    8475  1179.62  5.07E+1  6.38E+1  7.90E+1    37
    8480  1178.92  3.72E+1  5.80E+1  7.94E+1    35
    8485  1178.23  4.25E+1  6.41E+1  8.71E+1    35
    8490  1177.53  3.97E+1  6.38E+1  8.69E+1    32
    8495  1176.84  3.09E+1  6.04E+1  8.94E+1    30
    8500  1176.15  3.33E+1  6.48E+1  9.41E+1    33
    8505  1175.46  3.89E+1  7.22E+1  1.00E+2    33
    8510  1174.77  4.16E+1  7.83E+1  1.08E+2    31
    8515  1174.08  5.36E+1  8.68E+1  1.11E+2    34
    8520  1173.39  5.80E+1  9.69E+1  1.21E+2    31
    8525  1172.70  6.26E+1  1.01E+2  1.21E+2    31
    8530  1172.01  8.81E+1  1.19E+2  1.30E+2    41
    8535  1171.33  9.10E+1  1.25E+2  1.34E+2    43
    8540  1170.64  8.77E+1  1.29E+2  1.41E+2    42
    8545  1169.95  1.33E+2  1.67E+2  1.70E+2    47
    8550  1169.27  1.64E+2  1.78E+2  1.70E+2    45
    8555  1168.59  1.56E+2  1.63E+2  1.54E+2    51
    8560  1167.90  1.96E+2  1.78E+2  1.59E+2    52
    8565  1167.22  2.75E+2  2.23E+2  1.89E+2    48
    8570  1166.54  2.79E+2  2.23E+2  1.96E+2    47
    8575  1165.86  2.41E+2  2.03E+2  1.90E+2    43
    8580  1165.18  2.09E+2  2.09E+2  2.17E+2    35
    8585  1164.50  2.18E+2  2.41E+2  2.58E+2    30
    8590  1163.83  2.73E+2  2.73E+2  2.63E+2    33
    8595  1163.15  2.95E+2  2.89E+2  2.62E+2    32
    8600  1162.47  4.08E+2  3.72E+2  3.08E+2    37
    8605  1161.80  5.80E+2  4.49E+2  3.29E+2    45
    8610  1161.12  4.22E+2  3.10E+2  2.29E+2    51
    8615  1160.45  3.42E+2  2.46E+2  1.87E+2    52
    8620  1159.78  2.99E+2  2.15E+2  1.72E+2    47
    8625  1159.10  2.09E+2  1.55E+2  1.33E+2    43
