	pressure	temperature	e-	H2	H	H+	H-	H2-	H2+	H3+	He	H2O	CH4	CO	NH3	N2	PH3	H2S	TiO	VO	Fe	FeH	CrH	Na	K	Rb	Cs	CO2	HCN	C2H2	C2H4	C2H6	SiO	MgH	OCS	Li	LiOH	LiH	LiCl	LiF
0	0.000889	91.08209359619256	4.5044000000000213e-38	0.8378123115058804	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	0.16260000000000002	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	1.5090476340144425e-16	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	5.427106535341552e-10	2.4618355514712666e-08	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38
1	0.0010566005976622	91.89087215390235	4.5044000000000213e-38	0.8378122984953223	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	0.16260000000000002	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	2.1711714842037083e-16	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	5.427106535341552e-10	2.4618355514712666e-08	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38	4.5044000000000213e-38
2	0.0012557984510462	93.03025757042928	4.504399999999957e-38	0.837812269382532	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	0.16260000000000005	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	3.8287586331672956e-16	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	5.427106535341552e-10	2.4618355514712666e-08	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38
3	0.0014925504993461	94.5626679998259	4.504399999999957e-38	0.8378122056686691	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	0.16260000000000002	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	8.473546433485947e-16	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	5.427106535341552e-10	2.4618355514712666e-08	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38
4	0.0017739367262656	96.5346635061495	4.504399999999957e-38	0.8378120592080326	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	0.16260000000000005	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	2.365572673840119e-15	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	5.427106535341552e-10	2.4618355514712666e-08	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38
5	0.00210837188435	99.01606432830053	4.504399999999957e-38	0.8378116858827216	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	0.16260000000000002	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	8.411662948000762e-15	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	5.427106535341552e-10	2.4618355514712666e-08	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38	4.504399999999957e-38
6	0.0025058571350938	102.08597627173866	4.5043963176600544e-38	0.8378098770650999	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	0.16260000000000002	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	3.820937787784683e-14	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	5.427106535341552e-10	2.4618355514712666e-08	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38	4.5043963176600544e-38
7	0.0029782791300295	105.85569617250017	4.5043995975144427e-38	0.8378069825452423	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	0.16260000000000002	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	2.2299044242808798e-13	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	5.427106535341552e-10	2.4618355514712666e-08	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38	4.5043995975144427e-38
8	0.0035397654767087	110.3040984500628	4.504381967607414e-38	0.8377911469674987	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	0.16259938376837707	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	1.5555405180910728e-12	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	5.427106535341552e-10	2.4618355514712666e-08	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38	4.504381967607414e-38
9	0.0042071072196564	115.13869976961566	4.5041388221404857e-38	0.8377072813236964	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	0.16259079267531545	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	1.0832214337945426e-11	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	5.427106535341552e-10	2.4618355514712666e-08	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38	4.5041388221404857e-38
10	0.0050002609704363	120.04076756964704	4.503968976990784e-38	0.837562467682842	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	0.16258422445807771	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	6.529513884628012e-11	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	5.427106535341552e-10	2.4618355514712666e-08	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38	4.503968976990784e-38
11	0.0059429457028459	124.87930750790652	4.503911749670271e-38	0.8375218883710445	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	0.1625827937692421	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	3.297155575941204e-10	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	5.427106535341552e-10	2.4618355514712666e-08	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38	4.503911749670271e-38
12	0.0070633520601811	129.8182730130687	4.5038047787996627e-38	0.8374322954364793	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	0.1625801194716032	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	1.5056178205109288e-09	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	5.427106535341552e-10	2.4618355514712666e-08	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38	4.5038047787996627e-38
