# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  34               2.12832139E-01   3.73891079E+02   8.38136749E-01   1.60475869E-01   7.65007789E-04   5.15909046E-04   2.68656199E-28   4.81021103E-06   4.70403812E-05   2.73142477E-05  
  35               2.57701249E-01   3.85842001E+02   8.38136749E-01   1.60475868E-01   7.65007813E-04   5.15909063E-04   2.15321444E-27   4.81021119E-06   4.70403827E-05   2.73142485E-05  
  36               3.11797148E-01   3.96417750E+02   8.38136750E-01   1.60475867E-01   7.65007840E-04   5.15909081E-04   1.20519915E-26   4.81021136E-06   4.70403844E-05   2.73142495E-05  
  37               3.76921432E-01   4.09763280E+02   8.38136752E-01   1.60475865E-01   7.65007864E-04   5.15909097E-04   9.50855158E-26   4.81021151E-06   4.70403859E-05   2.73142504E-05  
  38               4.55185874E-01   4.21842923E+02   8.38136420E-01   1.60475798E-01   7.65007648E-04   5.15908951E-04   5.43867237E-25   4.81021015E-06   4.70403726E-05   2.73142427E-05  
  39               5.49132870E-01   4.36815858E+02   8.38136448E-01   1.60475758E-01   7.65013209E-04   5.15912702E-04   4.20127600E-24   4.81024511E-06   4.70407145E-05   2.73144412E-05  
  40               6.61744352E-01   4.50760494E+02   8.38136435E-01   1.60475747E-01   7.65013271E-04   5.15912744E-04   2.46931658E-23   4.81024551E-06   4.70407183E-05   2.73144434E-05  
  41               7.96468622E-01   4.67814622E+02   8.38136052E-01   1.60475671E-01   7.65013365E-04   5.15912807E-04   1.89398579E-22   4.81024610E-06   4.70407241E-05   2.73144468E-05  
  42               9.57271144E-01   4.84246630E+02   8.38135778E-01   1.60475941E-01   7.65015434E-04   5.15914203E-04   1.16813738E-21   4.81025911E-06   4.70408514E-05   2.73145207E-05  
  43               1.14884161E+00   5.04303401E+02   8.38133102E-01   1.60475365E-01   7.65017312E-04   5.15915469E-04   9.29403702E-21   4.81027092E-06   4.70409668E-05   2.73145877E-05  
  44               1.37653216E+00   5.23508246E+02   8.38133353E-01   1.60475009E-01   7.65076289E-04   5.15955242E-04   5.78438201E-20   4.81064175E-06   4.70445933E-05   2.73166934E-05  
  45               1.64668691E+00   5.45727974E+02   8.38133504E-01   1.60474857E-01   7.65076553E-04   5.15955420E-04   4.11917629E-19   4.81064341E-06   4.70446096E-05   2.73167029E-05  
  46               1.96643136E+00   5.67928131E+02   8.38133732E-01   1.60474630E-01   7.65076107E-04   5.15955119E-04   2.49922105E-18   4.81064061E-06   4.70445822E-05   2.73166870E-05  
  47               2.34440231E+00   5.93191971E+02   8.38134145E-01   1.60474218E-01   7.65075240E-04   5.15954535E-04   1.66071442E-17   4.81063516E-06   4.70445288E-05   2.73166560E-05  
  48               2.78978161E+00   6.18458107E+02   8.38134728E-01   1.60473638E-01   7.65074008E-04   5.15953704E-04   9.40817419E-17   4.81062741E-06   4.70444531E-05   2.73166120E-05  
